name,lat,long
Meru,-3.25,36.75
Methana,37.615,23.336
Metis Shoal,-19.18,-174.87
Mezhdusopochny,57.47,160.25
Michael,-57.78,-26.45
Michoacan-Guanajuato,19.48,-102.25
Micotrin,15.33,-61.33
Middle Gobi,45.28,106.7
Milbanke Sound Group,52.5,-128.73
Milne,46.82,151.78
Milos,36.699,24.439
Minami-Hiyoshi,23.507,141.905
Minchinmavida,-42.78,-72.43
Miravalles,10.748,-85.153
"Misti, El",-16.294,-71.409
Miyake-jima,34.08,139.53
Mocho-Choshuenco,-39.927,-72.027
Moffett,51.93,-176.75
Mojanda,0.13,-78.27
Mojanda,0.133,-78.267
Mokuyo Seamount,28.317,140.567
Mombacho,11.826,-85.968
Momotombo,12.422,-86.54
Monaco Bank,37.6,-25.88
Mondaca,-35.464,-70.8
Mono Craters,37.88,-119
Mono Lake Volc Field,38,-119.03
Monowai Seamount,-25.887,-177.188
